idx,B,E,core,sp,mu_dot_t,lambda_sum,mu,lambda
131,8,1,D6_B8_0020,0,5,4,1 0 0 0 0 0 1 0,0 1 0 0 0 0 0 1 1 1
132,8,1,D6_B8_0020,1,5,4,0 1 0 0 0 0 1 1,0 1 0 0 0 1 0 1 0 1
133,8,1,D6_B8_0020,2,6,4,0 0 0 1 1 0 1 0,0 1 1 0 0 0 0 1 1 0
134,8,1,D6_B8_0020,3,5,4,0 0 0 1 1 0 0 0,0 1 1 0 0 0 0 1 1 0
135,8,1,D6_B8_0020,4,5,4,0 0 0 0 1 0 0 1,0 1 1 0 0 1 0 1 0 0
136,8,1,D6_B8_0020,5,6,4,0 0 0 0 1 0 1 1,1 1 1 0 0 0 0 0 1 0
137,8,1,D6_B8_0020,6,5,4,1 0 0 0 0 0 1 0,0 1 1 0 0 0 0 1 1 0
138,8,1,D6_B8_0020,7,5,4,0 0 0 0 1 0 0 1,0 1 1 0 0 0 0 1 1 0
139,8,0,D6_B8_0021,-1,8,7,1 0 0 1 0 1 0 1,0 1 0 1 1 0 1 1 1 1
140,8,1,D6_B8_0021,0,7,6,1 1 0 1 0 0 0 0,0 1 1 1 1 0 1 0 1 0
141,8,1,D6_B8_0021,1,7,6,1 1 0 1 0 0 0 0,0 1 1 1 1 0 1 0 1 0
142,8,1,D6_B8_0021,2,8,7,1 0 0 1 0 1 0 1,0 1 0 1 1 0 1 1 1 1
143,8,1,D6_B8_0021,3,7,6,1 1 0 1 0 0 0 0,0 1 1 1 1 0 1 0 1 0
144,8,1,D6_B8_0021,4,8,7,1 0 0 1 0 1 0 1,1 1 0 1 0 0 1 1 1 1
145,8,1,D6_B8_0021,5,9,7,1 0 0 1 0 1 0 1,0 1 0 1 1 0 1 1 1 1
146,8,1,D6_B8_0021,6,8,7,1 0 0 1 0 1 0 1,1 1 0 1 0 0 1 1 1 1
147,8,1,D6_B8_0021,7,9,7,1 0 0 1 0 1 0 1,0 1 0 1 1 0 1 1 1 1
148,8,0,D6_B8_0022,-1,15,14,2 2 0 1 0 0 2 1,1 2 2 1 0 0 2 2 2 2
149,8,1,D6_B8_0022,0,7,6,1 1 0 0 0 0 1 0,0 1 1 0 0 0 1 1 1 1
150,8,1,D6_B8_0022,1,7,6,1 1 0 0 0 0 1 0,0 1 1 0 0 0 1 1 1 1
151,8,1,D6_B8_0022,2,15,14,2 2 0 1 0 0 2 1,1 2 2 1 1 0 2 1 2 2
152,8,1,D6_B8_0022,3,8,7,1 1 0 1 0 0 1 0,0 1 1 1 1 0 1 0 1 1
153,8,1,D6_B8_0022,4,15,14,2 2 0 1 0 0 2 1,1 2 2 1 1 0 2 1 2 2
154,8,1,D6_B8_0022,5,13,12,1 1 0 1 0 1 2 1,1 1 1 1 2 0 2 1 2 1
155,8,1,D6_B8_0022,6,7,6,1 1 0 0 0 0 1 0,0 1 1 0 0 0 1 1 1 1
156,8,1,D6_B8_0022,7,9,8,1 1 0 0 0 0 1 1,1 0 0 0 0 0 2 1 2 2
157,8,0,D6_B8_0023,-1,4,3,1 0 0 0 0 0 1 0,1 1 1 0 0 0 0 0 0 0
158,8,1,D6_B8_0023,0,5,3,1 0 0 0 0 0 1 0,1 1 1 0 0 0 0 0 0 0
159,8,1,D6_B8_0023,1,4,3,1 0 0 0 0 0 1 0,1 1 1 0 0 0 0 0 0 0
160,8,1,D6_B8_0023,2,4,3,1 0 0 0 0 0 1 0,1 1 1 0 0 0 0 0 0 0
161,8,1,D6_B8_0023,3,4,3,0 0 0 0 0 0 1 1,1 1 1 0 0 0 0 0 0 0
162,8,1,D6_B8_0023,4,4,3,0 0 0 0 0 1 1 0,1 1 1 0 0 0 0 0 0 0
163,8,1,D6_B8_0023,5,4,3,1 0 0 0 0 0 1 0,1 1 1 0 0 0 0 0 0 0
164,8,1,D6_B8_0023,6,4,3,1 0 0 0 0 0 0 1,1 1 1 0 0 0 0 0 0 0
165,8,1,D6_B8_0023,7,4,3,1 0 0 0 0 1 0 0,1 1 1 0 0 0 0 0 0 0
166,8,0,D6_B8_0024,-1,4,3,0 0 1 0 1 0 0 0,0 0 1 0 0 1 1 0 0 0
167,8,1,D6_B8_0024,0,4,3,0 0 1 0 1 0 0 0,0 0 1 0 0 1 1 0 0 0
168,8,1,D6_B8_0024,1,4,3,0 0 1 0 1 0 0 0,0 0 0 0 0 1 1 1 0 0
169,8,1,D6_B8_0024,2,4,3,0 1 1 0 0 0 0 0,0 0 0 0 0 1 1 1 0 0
170,8,1,D6_B8_0024,3,4,3,0 0 1 0 1 0 0 0,1 0 0 0 0 0 1 1 0 0
171,8,1,D6_B8_0024,4,5,3,0 0 1 0 1 0 0 0,0 0 0 0 0 1 1 1 0 0
172,8,1,D6_B8_0024,5,4,3,0 0 1 0 1 0 0 0,0 0 0 0 0 1 1 1 0 0
173,8,1,D6_B8_0024,6,5,3,0 0 0 0 1 0 1 0,0 1 0 0 0 1 0 1 0 0
174,8,1,D6_B8_0024,7,4,3,0 0 1 0 1 0 0 0,0 0 0 0 0 1 1 1 0 0
175,8,0,D6_B8_0025,-1,4,3,0 0 0 0 0 0 1 1,0 0 0 0 0 1 1 1 0 0
176,8,1,D6_B8_0025,0,4,3,0 0 0 0 0 0 1 1,0 0 0 0 0 1 1 1 0 0
177,8,1,D6_B8_0025,1,4,3,0 0 0 0 0 0 1 1,0 0 0 0 0 1 1 1 0 0
178,8,1,D6_B8_0025,2,4,3,0 0 0 0 0 0 1 1,0 0 0 0 0 1 1 1 0 0
179,8,1,D6_B8_0025,3,4,3,0 0 0 0 0 0 1 1,0 0 0 0 0 1 1 1 0 0
180,8,1,D6_B8_0025,4,4,3,0 0 0 0 0 0 1 1,0 0 0 0 0 1 1 1 0 0
181,8,1,D6_B8_0025,5,4,3,0 0 0 0 0 0 1 1,0 0 0 0 0 1 1 1 0 0
182,8,1,D6_B8_0025,6,5,3,0 0 0 0 0 0 1 1,0 0 0 0 0 1 1 1 0 0
183,8,1,D6_B8_0025,7,5,3,0 0 0 0 0 0 1 1,0 0 0 0 0 1 1 1 0 0
