B,E,core,sp,sum_lambda,lambda
14,1,T14_0039,6,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,1,T14_0039,7,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,1,T14_0039,8,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,1,T14_0039,9,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,1,T14_0039,10,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,1,T14_0039,11,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,1,T14_0039,12,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,1,T14_0039,13,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,1,T14_0040,0,1,0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
14,1,T14_0040,1,3,0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0
14,1,T14_0040,2,1,0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
14,1,T14_0040,3,1,0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
14,1,T14_0040,4,3,0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0
14,1,T14_0040,5,1,0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
14,1,T14_0040,6,1,0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
14,1,T14_0040,7,1,0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
14,1,T14_0040,8,1,0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
14,1,T14_0040,9,1,0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
14,1,T14_0040,10,1,0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
14,1,T14_0040,11,1,0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
14,1,T14_0040,12,1,0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
14,1,T14_0040,13,1,0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
14,1,T14_0041,4,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
14,1,T14_0042,0,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
14,1,T14_0042,1,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
14,1,T14_0042,2,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
14,1,T14_0042,3,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
14,1,T14_0042,4,3,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0
14,1,T14_0042,5,2,0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0
14,1,T14_0042,6,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
14,1,T14_0042,7,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
14,1,T14_0042,8,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
14,1,T14_0042,9,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
14,1,T14_0042,10,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
14,1,T14_0042,11,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
14,1,T14_0042,12,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
14,1,T14_0042,13,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
14,1,T14_0043,0,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
14,1,T14_0043,1,3,0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0
14,1,T14_0043,2,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
14,1,T14_0043,3,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
14,1,T14_0043,4,3,0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0
14,1,T14_0043,5,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
14,1,T14_0043,6,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
14,1,T14_0043,7,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
14,1,T14_0043,8,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
14,1,T14_0043,9,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
14,1,T14_0043,10,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
14,1,T14_0043,11,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
14,1,T14_0043,12,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
14,1,T14_0043,13,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
14,1,T14_0044,0,3,0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1
14,1,T14_0044,1,3,0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1
14,1,T14_0044,2,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
14,1,T14_0044,3,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
14,1,T14_0044,4,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
14,1,T14_0044,5,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
14,1,T14_0044,6,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
14,1,T14_0044,7,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
14,1,T14_0044,8,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
14,1,T14_0044,9,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
14,1,T14_0044,10,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
14,1,T14_0044,11,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
14,1,T14_0044,12,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
14,1,T14_0044,13,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
14,1,T14_0045,0,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,1,T14_0045,1,2,0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0
14,1,T14_0045,2,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,1,T14_0045,3,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,1,T14_0045,4,2,0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0
14,1,T14_0045,5,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,1,T14_0045,6,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,1,T14_0045,7,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,1,T14_0045,8,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,1,T14_0045,9,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,1,T14_0045,10,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,1,T14_0045,11,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,1,T14_0045,12,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,1,T14_0045,13,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,1,T14_0046,1,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,1,T14_0048,1,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,1,T14_0049,1,1,0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
14,1,T14_0051,1,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
14,1,T14_0052,1,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
14,1,T14_0053,1,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
14,1,T14_0054,1,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,1,T14_0055,0,1,0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
14,1,T14_0056,1,1,0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
14,1,T14_0057,0,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,1,T14_0057,1,2,0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0
14,1,T14_0057,2,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,1,T14_0057,3,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,1,T14_0057,4,2,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0
14,1,T14_0057,5,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,1,T14_0057,6,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,1,T14_0057,7,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
